Index,Ovr,Gen,Div,Name,#,AG,Country,Swim,Bike,Run,Total,Competition,Year,Swim_sec,Bike_sec,Run_sec,Total_sec
59,59,59,3,Nicolas Perez,2182,M18-24,BRA,00:41:04,04:58:16,03:26:52,09:16:54,Overall Results,Ironman California 2023,2464.0,17896.0,12412,33414
60,60,1,1,Kristen Yax,173,F40-44,USA,00:46:09,04:54:50,03:23:31,09:17:28,Overall Results,Ironman California 2023,2769.0,17690.0,12211,33448
61,61,60,6,Julien Roberts,1794,M25-29,CAN,00:36:47,05:01:41,03:26:53,09:17:52,Overall Results,Ironman California 2023,2207.0,18101.0,12413,33472
62,62,61,18,Vitor Cancian,1591,M35-39,USA,00:48:02,04:48:46,03:29:48,09:18:10,Overall Results,Ironman California 2023,2882.0,17326.0,12588,33490
63,63,62,1,Eric Millard,2109,M55-59,FRA,00:42:51,04:48:45,03:30:35,09:18:36,Overall Results,Ironman California 2023,2571.0,17325.0,12635,33516
64,64,63,19,Leandro Dasler,1437,M35-39,BRA,00:48:32,04:49:37,03:26:38,09:18:47,Overall Results,Ironman California 2023,2912.0,17377.0,12398,33527
65,65,64,5,Eduardo Rueda,761,M50-54,MEX,00:45:53,04:59:03,03:21:27,09:19:54,Overall Results,Ironman California 2023,2753.0,17943.0,12087,33594
66,66,65,15,Przemyslaw Janik,265,M40-44,POL,00:47:08,04:56:30,03:29:27,09:20:33,Overall Results,Ironman California 2023,2828.0,17790.0,12567,33633
67,67,66,5,Ralph Tan,290,M45-49,USA,00:44:29,04:52:15,03:31:34,09:20:56,Overall Results,Ironman California 2023,2669.0,17535.0,12694,33656
68,68,67,6,Tarik Arcoverde Ribeiro Costa,867,M45-49,BRA,00:35:51,04:50:18,03:43:53,09:22:16,Overall Results,Ironman California 2023,2151.0,17418.0,13433,33736
69,69,68,20,Brett Schuenemann,1389,M35-39,USA,00:44:12,04:54:30,03:29:43,09:22:28,Overall Results,Ironman California 2023,2652.0,17670.0,12583,33748
70,70,69,6,Todd Robinson,331,M50-54,USA,00:42:13,04:58:21,03:30:27,09:23:07,Overall Results,Ironman California 2023,2533.0,17901.0,12627,33787
71,71,70,13,Alex Bruce,1668,M30-34,GBR,00:40:57,04:50:32,03:42:31,09:25:17,Overall Results,Ironman California 2023,2457.0,17432.0,13351,33917
72,72,2,1,Kerry Girona,481,F35-39,USA,00:42:27,05:01:51,03:29:32,09:25:37,Overall Results,Ironman California 2023,2547.0,18111.0,12572,33937
73,73,71,7,Jordan Wergiles,2265,M25-29,USA,00:44:29,05:08:08,03:22:48,09:25:53,Overall Results,Ironman California 2023,2669.0,18488.0,12168,33953
74,74,72,16,Andreas Moraitis,480,M40-44,USA,00:45:58,04:50:26,03:37:29,09:26:01,Overall Results,Ironman California 2023,2758.0,17426.0,13049,33961
75,75,73,21,Finbarr Watterson,417,M35-39,IRL,00:44:17,05:13:19,03:18:30,09:27:50,Overall Results,Ironman California 2023,2657.0,18799.0,11910,34070
76,76,74,22,Maikol Cerda,328,M35-39,CHL,00:45:29,05:05:03,03:25:22,09:27:52,Overall Results,Ironman California 2023,2729.0,18303.0,12322,34072
77,77,75,17,Ryan Smith,186,M40-44,USA,00:45:12,05:12:03,03:16:51,09:28:05,Overall Results,Ironman California 2023,2712.0,18723.0,11811,34085
78,78,76,18,Justin Buschman,375,M40-44,USA,00:43:06,05:06:18,03:26:36,09:28:17,Overall Results,Ironman California 2023,2586.0,18378.0,12396,34097
79,79,77,19,John Nystrom,1573,M40-44,USA,00:50:16,04:55:18,03:29:33,09:28:36,Overall Results,Ironman California 2023,3016.0,17718.0,12573,34116
80,80,78,14,Alec Merlino,1942,M30-34,USA,00:43:10,04:36:53,03:57:09,09:29:02,Overall Results,Ironman California 2023,2590.0,16613.0,14229,34142
81,81,79,8,Jamie Percival,238,M25-29,GBR,00:40:38,04:54:08,03:45:22,09:29:05,Overall Results,Ironman California 2023,2438.0,17648.0,13522,34145
82,82,80,23,Christopher Sakacs,229,M35-39,USA,00:38:54,05:03:29,03:33:22,09:29:17,Overall Results,Ironman California 2023,2334.0,18209.0,12802,34157
