Index,Ovr,Gen,Div,Name,#,AG,Country,Swim,Bike,Run,Total,Competition,Year,Swim_sec,Bike_sec,Run_sec,Total_sec
961,961,107,17,Margaret Riley,1855,F30-34,USA,00:45:40,06:08:54,05:11:34,12:27:04,Overall Results,Ironman California 2023,2740.0,22134.0,18694,44824
962,962,855,145,Tyler Sparrow,2350,M35-39,CAN,00:51:44,06:34:09,04:37:56,12:27:07,Overall Results,Ironman California 2023,3104.0,23649.0,16676,44827
963,963,856,29,Gilles Fontaine,185,M60-64,FRA,00:44:19,06:00:12,05:19:42,12:27:14,Overall Results,Ironman California 2023,2659.0,21612.0,19182,44834
964,964,857,130,Brian Batchelder,37,M45-49,USA,00:48:51,06:13:06,04:38:32,12:27:23,Overall Results,Ironman California 2023,2931.0,22386.0,16712,44843
965,965,108,8,Lisa Wookee,1385,F55-59,USA,00:48:14,05:59:23,05:16:22,12:27:31,Overall Results,Ironman California 2023,2894.0,21563.0,18982,44851
966,966,858,63,Glenn Anderson,1646,M55-59,USA,00:50:08,05:46:50,05:33:47,12:27:43,Overall Results,Ironman California 2023,3008.0,20810.0,20027,44863
967,967,859,146,Victor Zavala Jr,1473,M35-39,USA,00:49:27,06:22:51,04:50:52,12:27:46,Overall Results,Ironman California 2023,2967.0,22971.0,17452,44866
968,968,860,64,Marcus Meyer,1489,M55-59,USA,00:52:27,06:06:21,04:58:51,12:27:54,Overall Results,Ironman California 2023,3147.0,21981.0,17931,44874
969,969,861,21,Davis Mihelich,1354,M18-24,USA,00:44:18,06:12:10,05:07:32,12:27:56,Overall Results,Ironman California 2023,2658.0,22330.0,18452,44876
970,970,109,16,Laura Pujade,1374,F25-29,ESP,00:48:52,05:59:29,05:24:21,12:27:59,Overall Results,Ironman California 2023,2932.0,21569.0,19461,44879
971,971,862,133,Ernesto Lozano,2149,M30-34,USA,00:56:02,06:17:44,04:52:16,12:28:07,Overall Results,Ironman California 2023,3362.0,22664.0,17536,44887
972,972,863,114,Michael Roberts,109,M50-54,USA,00:46:35,06:11:49,05:07:05,12:28:07,Overall Results,Ironman California 2023,2795.0,22309.0,18425,44887
973,973,864,115,Khanh Pham,1608,M50-54,USA,01:02:22,06:32:01,04:26:25,12:28:18,Overall Results,Ironman California 2023,3742.0,23521.0,15985,44898
974,974,865,116,Shafton Fraley,673,M50-54,USA,00:58:15,06:02:46,05:03:20,12:28:19,Overall Results,Ironman California 2023,3495.0,21766.0,18200,44899
975,975,866,147,Colby Haynes,586,M40-44,USA,00:51:48,05:58:28,05:11:13,12:28:38,Overall Results,Ironman California 2023,3108.0,21508.0,18673,44918
976,976,867,71,Zachary Maldonado,2357,M25-29,USA,00:43:45,06:34:59,04:49:25,12:28:59,Overall Results,Ironman California 2023,2625.0,23699.0,17365,44939
977,977,868,131,Egeiro Navarro Barreras,485,M45-49,MEX,00:48:26,05:54:29,05:17:53,12:29:01,Overall Results,Ironman California 2023,2906.0,21269.0,19073,44941
978,978,869,134,Jumpei Kontani,2068,M30-34,USA,00:51:34,06:24:49,04:41:01,12:29:02,Overall Results,Ironman California 2023,3094.0,23089.0,16861,44942
979,979,870,72,Jason Pascoe,1749,M25-29,CAN,00:47:36,06:36:21,04:41:05,12:29:08,Overall Results,Ironman California 2023,2856.0,23781.0,16865,44948
980,980,871,117,Scott Carothers,2047,M50-54,USA,00:44:48,05:45:38,05:37:53,12:29:18,Overall Results,Ironman California 2023,2688.0,20738.0,20273,44958
981,981,110,18,Morgan Dawson,933,F30-34,USA,00:52:31,06:18:19,04:58:35,12:29:26,Overall Results,Ironman California 2023,3151.0,22699.0,17915,44966
982,982,872,22,Charlie Gall,1844,M18-24,USA,00:47:11,06:39:20,04:45:58,12:29:35,Overall Results,Ironman California 2023,2831.0,23960.0,17158,44975
983,983,873,148,Joseph Sanchez,609,M40-44,USA,00:51:23,05:47:02,05:17:11,12:29:36,Overall Results,Ironman California 2023,3083.0,20822.0,19031,44976
984,984,874,118,Keith Barrow,1335,M50-54,USA,00:53:05,06:04:56,05:00:05,12:29:39,Overall Results,Ironman California 2023,3185.0,21896.0,18005,44979
985,985,875,119,Michael Lesczynski,1762,M50-54,USA,00:48:59,06:01:29,05:14:17,12:29:48,Overall Results,Ironman California 2023,2939.0,21689.0,18857,44988
986,986,876,120,Ferdinand del Rosario,581,M50-54,CAN,00:50:22,06:15:08,04:54:41,12:29:51,Overall Results,Ironman California 2023,3022.0,22508.0,17681,44991
987,987,877,149,Luis Martinez,1700,M40-44,USA,00:40:09,06:12:13,05:06:48,12:29:55,Overall Results,Ironman California 2023,2409.0,22333.0,18408,44995
988,988,878,121,Andrea Sboner,935,M50-54,ITA,01:00:37,06:18:24,04:32:12,12:30:24,Overall Results,Ironman California 2023,3637.0,22704.0,16332,45024
989,989,111,18,Lacey Saul,1739,F35-39,USA,00:50:12,06:15:58,05:02:25,12:30:31,Overall Results,Ironman California 2023,3012.0,22558.0,18145,45031
990,990,879,30,Stephen Goldstein,886,M60-64,USA,00:55:01,06:14:45,05:00:43,12:30:35,Overall Results,Ironman California 2023,3301.0,22485.0,18043,45035
991,991,880,135,Christopher Canova,1505,M30-34,USA,00:49:41,06:09:21,05:07:31,12:30:49,Overall Results,Ironman California 2023,2981.0,22161.0,18451,45049
992,992,881,122,Darren Stott,1864,M50-54,CAN,00:47:09,06:02:26,05:04:20,12:30:52,Overall Results,Ironman California 2023,2829.0,21746.0,18260,45052
993,993,882,150,Derlys Aguilera,1161,M40-44,PRY,01:07:03,06:05:32,04:43:17,12:30:55,Overall Results,Ironman California 2023,4023.0,21932.0,16997,45055
994,994,883,132,Corwin Ang,533,M45-49,CAN,00:48:50,06:29:32,04:50:25,12:31:14,Overall Results,Ironman California 2023,2930.0,23372.0,17425,45074
995,995,884,133,Vincent Jones,954,M45-49,USA,00:52:31,06:25:41,04:49:24,12:31:18,Overall Results,Ironman California 2023,3151.0,23141.0,17364,45078
996,996,885,134,Rob Balucas,24,M45-49,USA,01:05:31,07:01:45,03:40:48,12:31:21,Overall Results,Ironman California 2023,3931.0,25305.0,13248,45081
997,997,886,147,Brandon Silva,1143,M35-39,USA,00:52:52,05:46:44,05:24:16,12:31:27,Overall Results,Ironman California 2023,3172.0,20804.0,19456,45087
998,998,112,25,Becky Casanega,623,F40-44,USA,00:48:35,06:35:13,04:49:13,12:31:39,Overall Results,Ironman California 2023,2915.0,23713.0,17353,45099
999,999,887,123,Shawn Oneill,1882,M50-54,USA,00:50:43,05:41:47,05:37:03,12:31:40,Overall Results,Ironman California 2023,3043.0,20507.0,20223,45100
1000,1000,888,151,Paul Hill,1183,M40-44,USA,00:45:40,05:49:42,05:24:56,12:31:44,Overall Results,Ironman California 2023,2740.0,20982.0,19496,45104
1001,1001,889,136,Evan Verhault,2261,M30-34,USA,00:51:51,06:10:58,05:08:39,12:31:48,Overall Results,Ironman California 2023,3111.0,22258.0,18519,45108
1002,1002,890,124,Roberto Nava,1980,M50-54,USA,00:50:11,06:37:10,04:39:56,12:31:48,Overall Results,Ironman California 2023,3011.0,23830.0,16796,45108
1003,1003,113,19,Diana Orozco,2150,F30-34,USA,00:53:39,07:07:47,04:06:39,12:31:50,Overall Results,Ironman California 2023,3219.0,25667.0,14799,45110
1004,1004,891,152,Michael Wells,1614,M40-44,USA,00:48:33,06:13:22,05:05:02,12:31:50,Overall Results,Ironman California 2023,2913.0,22402.0,18302,45110
1005,1005,892,148,Sven Schimmel,645,M35-39,DEU,00:49:36,06:07:22,05:15:38,12:31:58,Overall Results,Ironman California 2023,2976.0,22042.0,18938,45118
1006,1006,893,153,Dan Hutton,1318,M40-44,USA,00:52:24,05:54:36,05:13:22,12:32:19,Overall Results,Ironman California 2023,3144.0,21276.0,18802,45139
1007,1007,894,125,Michael Hipp,1193,M50-54,USA,00:48:59,06:28:10,04:50:02,12:32:36,Overall Results,Ironman California 2023,2939.0,23290.0,17402,45156
1008,1008,895,137,Connor Brown,2248,M30-34,USA,00:51:52,06:27:40,04:49:42,12:32:41,Overall Results,Ironman California 2023,3112.0,23260.0,17382,45161
1009,1009,896,149,Mike Austin,1409,M35-39,USA,00:49:19,06:01:39,05:06:41,12:32:43,Overall Results,Ironman California 2023,2959.0,21699.0,18401,45163
1010,1010,897,150,Derek Lai,1560,M35-39,CAN,00:52:53,06:44:48,04:29:00,12:32:50,Overall Results,Ironman California 2023,3173.0,24288.0,16140,45170
1011,1011,898,154,Munro Ohagan,2166,M40-44,NZL,00:51:58,06:22:56,04:53:21,12:32:59,Overall Results,Ironman California 2023,3118.0,22976.0,17601,45179
1012,1012,899,155,Vincent Berube,1987,M40-44,USA,00:48:11,06:12:44,04:45:53,12:33:03,Overall Results,Ironman California 2023,2891.0,22364.0,17153,45183
1013,1013,900,73,Raymond Lo,1903,M25-29,USA,00:51:15,06:28:30,04:51:14,12:33:08,Overall Results,Ironman California 2023,3075.0,23310.0,17474,45188
1014,1014,901,138,Dakoda Wholly,976,M30-34,USA,00:43:41,06:26:43,05:06:13,12:33:14,Overall Results,Ironman California 2023,2621.0,23203.0,18373,45194
1015,1015,114,26,Tristan Lindfelt,1866,F40-44,USA,00:47:47,06:26:54,05:00:56,12:33:16,Overall Results,Ironman California 2023,2867.0,23214.0,18056,45196
1016,1016,902,31,David Rhea,266,M60-64,USA,00:44:47,05:38:06,05:43:46,12:33:16,Overall Results,Ironman California 2023,2687.0,20286.0,20626,45196
1017,1017,903,135,Adam Osharow,122,M45-49,USA,00:53:44,06:00:05,05:21:28,12:33:25,Overall Results,Ironman California 2023,3224.0,21605.0,19288,45205
1018,1018,904,65,Nathan Dang,2042,M55-59,VNM,00:48:28,06:12:16,05:09:21,12:33:39,Overall Results,Ironman California 2023,2908.0,22336.0,18561,45219
1019,1019,905,66,Dave Holbrook,856,M55-59,USA,00:48:37,06:26:49,04:57:57,12:33:46,Overall Results,Ironman California 2023,2917.0,23209.0,17877,45226
1020,1020,906,67,Brian Buddell,663,M55-59,USA,00:51:48,05:50:10,05:29:26,12:34:06,Overall Results,Ironman California 2023,3108.0,21010.0,19766,45246
1021,1021,907,156,Pepe Gonzalez,1697,M40-44,MEX,00:59:32,06:13:14,04:48:54,12:34:18,Overall Results,Ironman California 2023,3572.0,22394.0,17334,45258
1022,1022,908,139,Nick Sole,2009,M30-34,USA,00:47:41,06:15:38,04:54:03,12:34:24,Overall Results,Ironman California 2023,2861.0,22538.0,17643,45264
1023,1023,909,151,Emmanuel Orosa,1919,M35-39,USA,00:52:55,06:10:23,05:14:37,12:34:32,Overall Results,Ironman California 2023,3175.0,22223.0,18877,45272
1024,1024,910,126,Boyce Fish,1602,M50-54,USA,00:45:35,05:36:25,05:50:34,12:34:33,Overall Results,Ironman California 2023,2735.0,20185.0,21034,45273
1025,1025,911,152,Nickolas Burciaga,117,M35-39,USA,00:50:59,06:17:27,05:04:34,12:35:12,Overall Results,Ironman California 2023,3059.0,22647.0,18274,45312
1026,1026,912,140,Aaron Barker,416,M30-34,USA,00:53:43,06:36:44,04:18:45,12:35:24,Overall Results,Ironman California 2023,3223.0,23804.0,15525,45324
1027,1027,913,153,Alan de Leon,1599,M35-39,GTM,00:55:52,05:38:43,05:41:20,12:35:44,Overall Results,Ironman California 2023,3352.0,20323.0,20480,45344
1028,1028,914,157,Stewart Tyrrell,1051,M40-44,USA,00:51:07,06:12:50,05:00:56,12:35:48,Overall Results,Ironman California 2023,3067.0,22370.0,18056,45348
1029,1029,915,127,Mauricio Gutierrez,1650,M50-54,MEX,00:53:21,05:56:49,05:12:10,12:35:52,Overall Results,Ironman California 2023,3201.0,21409.0,18730,45352
1030,1030,115,13,Michelle Dismore,1854,F45-49,USA,00:49:19,06:03:14,05:23:29,12:36:06,Overall Results,Ironman California 2023,2959.0,21794.0,19409,45366
1031,1031,116,1,Deanna Morris,516,F60-64,USA,00:58:46,06:15:26,05:03:30,12:36:21,Overall Results,Ironman California 2023,3526.0,22526.0,18210,45381
1032,1032,916,136,Stephen J Miller,1954,M45-49,USA,00:50:28,06:05:11,05:10:32,12:36:29,Overall Results,Ironman California 2023,3028.0,21911.0,18632,45389
1033,1033,117,27,Nixo Lanning,2243,F40-44,USA,00:48:46,06:20:23,05:06:55,12:36:33,Overall Results,Ironman California 2023,2926.0,22823.0,18415,45393
1034,1034,917,68,Ron Kraynick,1600,M55-59,USA,00:57:27,06:18:37,04:47:31,12:36:42,Overall Results,Ironman California 2023,3447.0,22717.0,17251,45402
1035,1035,118,11,Sandra Cuervo,1581,F50-54,MEX,01:00:49,06:15:36,04:44:51,12:36:54,Overall Results,Ironman California 2023,3649.0,22536.0,17091,45414
1036,1036,119,17,Rachel Draffen,1521,F25-29,USA,00:40:46,06:37:01,04:51:35,12:36:56,Overall Results,Ironman California 2023,2446.0,23821.0,17495,45416
1037,1037,918,32,Juan Jose Roman Cancino,1653,M60-64,USA,00:54:30,06:21:08,04:47:49,12:37:05,Overall Results,Ironman California 2023,3270.0,22868.0,17269,45425
1038,1038,120,19,Kate Eby,1262,F35-39,USA,00:44:12,07:17:51,04:11:52,12:37:06,Overall Results,Ironman California 2023,2652.0,26271.0,15112,45426
1039,1039,919,154,Piotr Bielaczyc,101,M35-39,POL,00:50:48,05:43:02,05:45:25,12:37:13,Overall Results,Ironman California 2023,3048.0,20582.0,20725,45433
1040,1040,920,141,Michael Weiss,2306,M30-34,USA,00:54:52,06:08:54,04:58:29,12:37:17,Overall Results,Ironman California 2023,3292.0,22134.0,17909,45437
1041,1041,121,14,Ileana Guerra Rodriguez,1549,F45-49,MEX,00:51:28,06:32:12,04:53:45,12:37:50,Overall Results,Ironman California 2023,3088.0,23532.0,17625,45470
1042,1042,122,9,Lynn Bebeau,1342,F55-59,USA,00:51:13,06:12:49,05:13:22,12:38:01,Overall Results,Ironman California 2023,3073.0,22369.0,18802,45481
1043,1043,921,155,Thomas Kiff,499,M35-39,USA,00:49:59,06:05:18,05:07:41,12:38:05,Overall Results,Ironman California 2023,2999.0,21918.0,18461,45485
1044,1044,922,128,Fiel Baguinguito,622,M50-54,USA,00:52:26,05:59:47,05:22:43,12:38:06,Overall Results,Ironman California 2023,3146.0,21587.0,19363,45486
1045,1045,923,156,Andy Ma,1008,M35-39,USA,00:00:00,00:00:00,05:18:00,12:38:34,Overall Results,Ironman California 2023,,,19080,45514
1046,1046,924,157,Jared Grieser,1714,M35-39,USA,00:53:55,06:02:06,05:08:24,12:38:43,Overall Results,Ironman California 2023,3235.0,21726.0,18504,45523
1047,1047,925,142,Stefan Dangelo,656,M30-34,USA,00:48:36,06:25:31,04:55:26,12:38:51,Overall Results,Ironman California 2023,2916.0,23131.0,17726,45531
1048,1048,123,15,Kessha Fischer,816,F45-49,USA,00:50:00,06:31:56,04:54:31,12:38:56,Overall Results,Ironman California 2023,3000.0,23516.0,17671,45536
1049,1049,124,20,Samantha Sells,1159,F35-39,USA,00:48:36,06:06:39,05:21:24,12:39:40,Overall Results,Ironman California 2023,2916.0,21999.0,19284,45580
1050,1050,926,137,Ignacio Lescano,769,M45-49,ARG,00:43:21,05:57:29,05:34:17,12:39:41,Overall Results,Ironman California 2023,2601.0,21449.0,20057,45581
1051,1051,927,74,Liam Gallant,1290,M25-29,USA,00:47:18,05:44:08,05:45:39,12:39:43,Overall Results,Ironman California 2023,2838.0,20648.0,20739,45583
1052,1052,928,158,Vincent Zuniga,2097,M40-44,USA,00:49:45,05:52:37,05:30:07,12:39:48,Overall Results,Ironman California 2023,2985.0,21157.0,19807,45588
1053,1053,929,138,Julio Rodriguez,1877,M45-49,MEX,00:44:30,06:04:12,05:31:50,12:39:59,Overall Results,Ironman California 2023,2670.0,21852.0,19910,45599
1054,1054,930,139,Ben Tran,245,M45-49,VNM,00:46:22,06:22:22,05:06:28,12:40:17,Overall Results,Ironman California 2023,2782.0,22942.0,18388,45617
1055,1055,931,129,Brett McMahon,1562,M50-54,USA,00:56:58,05:26:24,05:53:23,12:40:27,Overall Results,Ironman California 2023,3418.0,19584.0,21203,45627
1056,1056,932,69,JJ Mayo,736,M55-59,USA,00:48:04,06:39:01,04:55:08,12:40:32,Overall Results,Ironman California 2023,2884.0,23941.0,17708,45632
1057,1057,933,75,Matthew Cobos,831,M25-29,USA,00:44:45,06:12:48,05:13:33,12:40:33,Overall Results,Ironman California 2023,2685.0,22368.0,18813,45633
1058,1058,934,159,Joseph Ruhnke,76,M40-44,USA,00:48:57,06:28:44,04:55:31,12:40:40,Overall Results,Ironman California 2023,2937.0,23324.0,17731,45640
1059,1059,935,70,Jeff Sotebeer,493,M55-59,USA,00:40:11,06:01:13,05:39:42,12:40:42,Overall Results,Ironman California 2023,2411.0,21673.0,20382,45642
1060,1060,936,160,Nicolas Dupont,1278,M40-44,USA,00:53:09,06:40:25,04:40:13,12:40:43,Overall Results,Ironman California 2023,3189.0,24025.0,16813,45643
1061,1061,125,16,Minerva Ake,800,F45-49,USA,01:01:50,06:19:32,04:55:03,12:40:52,Overall Results,Ironman California 2023,3710.0,22772.0,17703,45652
1062,1062,937,76,Zach Legge,1663,M25-29,USA,00:58:09,06:23:22,04:43:20,12:40:52,Overall Results,Ironman California 2023,3489.0,23002.0,17000,45652
1063,1063,938,140,Mauricio Ayala,1584,M45-49,MEX,00:57:43,06:09:22,05:13:50,12:40:58,Overall Results,Ironman California 2023,3463.0,22162.0,18830,45658
1064,1064,939,130,Heriberto Vlaminck,93,M50-54,MEX,00:57:42,05:49:04,05:27:54,12:41:23,Overall Results,Ironman California 2023,3462.0,20944.0,19674,45683
1065,1065,940,158,Dimitar Lazarevski,1064,M35-39,MKD,00:50:35,06:24:47,04:55:19,12:41:26,Overall Results,Ironman California 2023,3035.0,23087.0,17719,45686
1066,1066,941,33,David Wolfe,1024,M60-64,USA,00:45:36,05:55:27,05:20:58,12:41:32,Overall Results,Ironman California 2023,2736.0,21327.0,19258,45692
1067,1067,942,77,Brian Ishii,2253,M25-29,USA,00:46:44,06:26:44,05:08:54,12:41:33,Overall Results,Ironman California 2023,2804.0,23204.0,18534,45693
1068,1068,126,6,Rebecca Wied,70,F18-24,USA,00:48:23,06:42:25,04:48:02,12:42:10,Overall Results,Ironman California 2023,2903.0,24145.0,17282,45730
1069,1069,943,71,Darren Carlson,1797,M55-59,USA,00:48:48,06:31:33,04:57:32,12:42:19,Overall Results,Ironman California 2023,2928.0,23493.0,17852,45739
1070,1070,127,18,Annie Cooper,1706,F25-29,USA,00:48:26,06:16:45,05:09:43,12:42:20,Overall Results,Ironman California 2023,2906.0,22605.0,18583,45740
1071,1071,944,141,Modesto Valdes,55,M45-49,MEX,00:45:32,05:46:56,05:48:24,12:42:21,Overall Results,Ironman California 2023,2732.0,20816.0,20904,45741
1072,1072,945,161,Viet Nguyen,1751,M40-44,USA,00:50:49,05:49:39,05:40:46,12:42:24,Overall Results,Ironman California 2023,3049.0,20979.0,20446,45744
1073,1073,946,142,Junjie Bu,2116,M45-49,CHN,01:00:18,06:13:17,05:07:57,12:42:34,Overall Results,Ironman California 2023,3618.0,22397.0,18477,45754
1074,1074,947,4,Alex Davis,1085,M65-69,USA,00:44:20,06:35:16,05:03:00,12:42:44,Overall Results,Ironman California 2023,2660.0,23716.0,18180,45764
1075,1075,128,12,Elizabeth Uy,864,F50-54,USA,00:56:16,06:15:40,05:02:00,12:42:47,Overall Results,Ironman California 2023,3376.0,22540.0,18120,45767
1076,1076,948,72,Bruce Levine,677,M55-59,USA,00:45:11,06:21:38,05:07:32,12:43:06,Overall Results,Ironman California 2023,2711.0,22898.0,18452,45786
1077,1077,949,162,Apolonio Gomez,2095,M40-44,USA,00:54:01,06:25:36,04:57:34,12:43:48,Overall Results,Ironman California 2023,3241.0,23136.0,17854,45828
1078,1078,950,159,Jamison Mortensen,2001,M35-39,USA,00:56:05,06:16:31,05:02:51,12:43:54,Overall Results,Ironman California 2023,3365.0,22591.0,18171,45834
1079,1079,951,143,Benjamin Samuel,1337,M45-49,USA,00:45:18,05:26:54,05:59:33,12:44:09,Overall Results,Ironman California 2023,2718.0,19614.0,21573,45849
1080,1080,952,160,Daniel Klug,1748,M35-39,USA,00:51:36,06:20:06,05:03:29,12:44:22,Overall Results,Ironman California 2023,3096.0,22806.0,18209,45862
1081,1081,953,144,Jonathan Russin,505,M45-49,USA,00:51:58,06:39:19,04:52:03,12:44:25,Overall Results,Ironman California 2023,3118.0,23959.0,17523,45865
1082,1082,954,143,Brad Moriel,960,M30-34,USA,00:49:37,06:11:22,05:23:51,12:44:27,Overall Results,Ironman California 2023,2977.0,22282.0,19431,45867
1083,1083,955,161,Ben McCallum,602,M35-39,USA,00:48:25,06:37:05,04:56:23,12:44:40,Overall Results,Ironman California 2023,2905.0,23825.0,17783,45880
1084,1084,129,17,Jessica Banfield,539,F45-49,CAN,00:48:27,06:47:11,04:40:26,12:44:42,Overall Results,Ironman California 2023,2907.0,24431.0,16826,45882
1085,1085,956,23,Michael Wang,396,M18-24,USA,00:45:16,06:44:46,04:50:14,12:44:48,Overall Results,Ironman California 2023,2716.0,24286.0,17414,45888
1086,1086,957,131,Jason Burnham,1413,M50-54,USA,00:52:59,06:03:00,05:20:23,12:45:05,Overall Results,Ironman California 2023,3179.0,21780.0,19223,45905
1087,1087,958,73,Keevin Blue,1349,M55-59,USA,00:56:53,06:15:31,05:01:57,12:45:15,Overall Results,Ironman California 2023,3413.0,22531.0,18117,45915
1088,1088,959,74,Matt Nelson,909,M55-59,USA,00:54:21,06:19:06,05:04:54,12:45:16,Overall Results,Ironman California 2023,3261.0,22746.0,18294,45916
1089,1089,960,75,Mike Kunstmann,1086,M55-59,USA,00:49:42,06:20:37,05:13:12,12:45:27,Overall Results,Ironman California 2023,2982.0,22837.0,18792,45927
1090,1090,961,78,Ryan Hiney,1405,M25-29,USA,00:48:20,06:42:57,04:49:46,12:45:35,Overall Results,Ironman California 2023,2900.0,24177.0,17386,45935
1091,1091,130,19,Liselle Pires,1791,F25-29,USA,00:56:18,06:31:10,04:52:32,12:45:37,Overall Results,Ironman California 2023,3378.0,23470.0,17552,45937
1092,1092,131,13,Margaret Morley,880,F50-54,GBR,00:55:42,06:41:41,04:43:33,12:45:38,Overall Results,Ironman California 2023,3342.0,24101.0,17013,45938
1093,1093,132,18,Gaby Roca,931,F45-49,GTM,00:52:12,06:23:49,05:04:55,12:46:05,Overall Results,Ironman California 2023,3132.0,23029.0,18295,45965
1094,1094,133,14,Amy Higginbotham,1451,F50-54,USA,00:50:42,06:23:36,05:11:07,12:46:09,Overall Results,Ironman California 2023,3042.0,23016.0,18667,45969
1095,1095,962,163,Aaron Schreur,2188,M40-44,USA,00:48:59,06:23:22,05:10:49,12:46:10,Overall Results,Ironman California 2023,2939.0,23002.0,18649,45970
1096,1096,963,76,Henry Fauni,2067,M55-59,USA,00:59:52,06:30:54,04:53:16,12:46:16,Overall Results,Ironman California 2023,3592.0,23454.0,17596,45976
1097,1097,964,79,Mackenzie Bach,2320,M25-29,USA,00:51:25,06:59:09,04:21:01,12:46:18,Overall Results,Ironman California 2023,3085.0,25149.0,15661,45978
1098,1098,965,132,Dennis Casido,1928,M50-54,PHL,00:55:47,05:58:35,05:27:55,12:46:22,Overall Results,Ironman California 2023,3347.0,21515.0,19675,45982
1099,1099,134,15,Tianna Eitner,810,F50-54,USA,00:49:07,06:32:58,04:57:56,12:46:26,Overall Results,Ironman California 2023,2947.0,23578.0,17876,45986
1100,1100,966,133,Rick Ostapovich,748,M50-54,USA,00:48:12,06:19:39,05:13:15,12:46:47,Overall Results,Ironman California 2023,2892.0,22779.0,18795,46007
1101,1101,135,16,Sophia Johnson,1050,F50-54,USA,00:50:43,06:28:59,04:53:29,12:47:08,Overall Results,Ironman California 2023,3043.0,23339.0,17609,46028
1102,1102,967,164,Jordan Darr,1449,M40-44,USA,00:47:45,06:09:21,05:30:38,12:47:08,Overall Results,Ironman California 2023,2865.0,22161.0,19838,46028
1103,1103,968,165,Scott Hyland,541,M40-44,USA,00:47:56,06:23:05,05:13:25,12:47:12,Overall Results,Ironman California 2023,2876.0,22985.0,18805,46032
1104,1104,969,166,Clinton Waller,1916,M40-44,USA,00:53:04,06:20:44,05:09:41,12:47:32,Overall Results,Ironman California 2023,3184.0,22844.0,18581,46052
1105,1105,136,20,Kailey Vanderbaan,1403,F30-34,USA,00:50:12,06:41:35,04:44:32,12:47:37,Overall Results,Ironman California 2023,3012.0,24095.0,17072,46057
1106,1106,970,144,Robertino Salgado,1585,M30-34,USA,00:50:06,06:43:58,04:50:06,12:47:39,Overall Results,Ironman California 2023,3006.0,24238.0,17406,46059
1107,1107,971,145,Ian Rhodes,2336,M30-34,USA,00:45:42,06:46:15,04:44:48,12:47:57,Overall Results,Ironman California 2023,2742.0,24375.0,17088,46077
1108,1108,137,21,Emily I Mitchell,1410,F30-34,USA,00:56:33,06:57:20,04:19:53,12:48:10,Overall Results,Ironman California 2023,3393.0,25040.0,15593,46090
1109,1109,972,167,Deyl Kearin,2294,M40-44,USA,00:51:45,06:39:58,04:48:00,12:48:17,Overall Results,Ironman California 2023,3105.0,23998.0,17280,46097
1110,1110,973,168,Conrad Amenta,897,M40-44,USA,00:49:08,06:40:29,04:49:49,12:48:41,Overall Results,Ironman California 2023,2948.0,24029.0,17389,46121
1111,1111,974,145,Scott Meadows,613,M45-49,USA,00:51:24,05:58:46,05:27:51,12:48:52,Overall Results,Ironman California 2023,3084.0,21526.0,19671,46132
1112,1112,975,169,Sharon Segal,546,M40-44,USA,00:54:16,06:13:54,05:20:29,12:48:54,Overall Results,Ironman California 2023,3256.0,22434.0,19229,46134
1113,1113,976,5,Adam Sutcliffe,198,M65-69,USA,00:48:11,06:03:26,05:30:16,12:49:08,Overall Results,Ironman California 2023,2891.0,21806.0,19816,46148
1114,1114,977,77,Bruce Thorn,63,M55-59,USA,00:49:06,06:20:48,05:17:25,12:49:27,Overall Results,Ironman California 2023,2946.0,22848.0,19045,46167
1115,1115,978,78,Harold Garner,180,M55-59,USA,00:48:27,06:02:25,05:30:19,12:49:34,Overall Results,Ironman California 2023,2907.0,21745.0,19819,46174
1116,1116,979,162,Juan Hernandez,1993,M35-39,USA,01:01:32,06:51:18,04:36:57,12:49:36,Overall Results,Ironman California 2023,3692.0,24678.0,16617,46176
1117,1117,980,170,Mehrdad Safaieh,1527,M40-44,IRN,00:46:11,06:21:54,05:17:24,12:49:58,Overall Results,Ironman California 2023,2771.0,22914.0,19044,46198
1118,1118,138,20,Sydney Chin,759,F25-29,USA,00:54:17,06:46:16,04:47:13,12:50:04,Overall Results,Ironman California 2023,3257.0,24376.0,17233,46204
1119,1119,981,146,Nicolas de Valencia,521,M45-49,COL,00:43:32,06:13:07,05:32:27,12:50:06,Overall Results,Ironman California 2023,2612.0,22387.0,19947,46206
1120,1120,982,79,John Hannon,1758,M55-59,USA,00:41:59,06:03:41,05:44:25,12:50:16,Overall Results,Ironman California 2023,2519.0,21821.0,20665,46216
1121,1121,139,2,M. Jackie Williams,1450,F60-64,USA,00:53:57,06:06:17,05:31:43,12:50:21,Overall Results,Ironman California 2023,3237.0,21977.0,19903,46221
1122,1122,140,21,Sophia Ornelas,1254,F35-39,USA,00:52:07,06:39:03,04:49:45,12:50:33,Overall Results,Ironman California 2023,3127.0,23943.0,17385,46233
1123,1123,983,147,Theautis Persons,818,M45-49,USA,00:50:50,05:44:00,05:55:59,12:50:38,Overall Results,Ironman California 2023,3050.0,20640.0,21359,46238
1124,1124,984,80,Don Kiser,879,M55-59,USA,00:53:31,06:26:47,05:05:04,12:50:57,Overall Results,Ironman California 2023,3211.0,23207.0,18304,46257
1125,1125,985,80,Casey Kim,1435,M25-29,USA,00:51:21,06:27:36,04:55:36,12:51:02,Overall Results,Ironman California 2023,3081.0,23256.0,17736,46262
